MS,X,Y,DURACAO_FRAMES,DATE_FIM
318.0,949.0,660.0,7,2022-04-10 14:17:12.158
105.0,1068.0,676.0,3,2022-04-10 14:17:12.306
303.0,1218.0,701.0,7,2022-04-10 14:17:13.203
116.0,1148.0,535.0,3,2022-04-10 14:17:13.423
563.0,1036.0,645.0,11,2022-04-10 14:17:14.171
328.0,1169.0,661.0,7,2022-04-10 14:17:14.555
201.0,1250.0,547.0,5,2022-04-10 14:17:14.802
363.0,1226.0,657.0,8,2022-04-10 14:17:15.217
708.0,1080.0,659.0,13,2022-04-10 14:17:15.993
1586.0,1129.0,577.0,30,2022-04-10 14:17:17.833
106.0,1220.0,641.0,3,2022-04-10 14:17:18.120
746.0,1118.0,673.0,15,2022-04-10 14:17:18.911
379.0,1011.0,654.0,8,2022-04-10 14:17:19.337
510.0,1175.0,637.0,10,2022-04-10 14:17:19.897
387.0,1078.0,647.0,8,2022-04-10 14:17:21.546
118.0,1190.0,295.0,3,2022-04-10 14:17:21.724
416.0,1179.0,632.0,8,2022-04-10 14:17:22.382
413.0,1076.0,644.0,9,2022-04-10 14:17:22.845
252.0,1254.0,641.0,6,2022-04-10 14:17:23.141
589.0,1117.0,614.0,13,2022-04-10 14:17:23.979
361.0,1238.0,654.0,7,2022-04-10 14:17:24.390
786.0,1228.0,564.0,15,2022-04-10 14:17:25.325
646.0,1126.0,601.0,14,2022-04-10 14:17:26.024
911.0,1239.0,543.0,18,2022-04-10 14:17:27.178
778.0,1100.0,624.0,15,2022-04-10 14:17:28.010
631.0,977.0,605.0,14,2022-04-10 14:17:28.695
275.0,1091.0,605.0,6,2022-04-10 14:17:29.027
402.0,1197.0,617.0,9,2022-04-10 14:17:29.478
225.0,1081.0,619.0,5,2022-04-10 14:17:29.776
257.0,1097.0,655.0,5,2022-04-10 14:17:30.480
656.0,1212.0,639.0,14,2022-04-10 14:17:31.182
531.0,1079.0,627.0,12,2022-04-10 14:17:31.767
218.0,976.0,615.0,5,2022-04-10 14:17:32.030
110.0,1048.0,505.0,3,2022-04-10 14:17:32.194
225.0,1075.0,621.0,5,2022-04-10 14:17:32.479
257.0,1155.0,643.0,6,2022-04-10 14:17:33.456
707.0,988.0,611.0,14,2022-04-10 14:17:34.218
579.0,1093.0,580.0,12,2022-04-10 14:17:34.858
247.0,1199.0,605.0,5,2022-04-10 14:17:35.171
213.0,1255.0,499.0,5,2022-04-10 14:17:35.438
241.0,1185.0,602.0,5,2022-04-10 14:17:35.728
2016.0,1054.0,622.0,36,2022-04-10 14:17:37.804
320.0,1067.0,585.0,6,2022-04-10 14:17:38.394
331.0,1058.0,626.0,7,2022-04-10 14:17:38.914
1036.0,1164.0,657.0,20,2022-04-10 14:17:40.010
2076.0,1043.0,646.0,40,2022-04-10 14:17:42.136
576.0,941.0,577.0,12,2022-04-10 14:17:42.758
654.0,1029.0,584.0,12,2022-04-10 14:17:43.605
2910.0,1023.0,524.0,56,2022-04-10 14:17:46.664
678.0,957.0,627.0,14,2022-04-10 14:17:47.511
104.0,835.0,436.0,3,2022-04-10 14:17:47.734
1510.0,938.0,539.0,28,2022-04-10 14:17:49.286
1754.0,933.0,533.0,35,2022-04-10 14:17:51.191
1488.0,907.0,635.0,26,2022-04-10 14:17:52.728
1128.0,987.0,508.0,23,2022-04-10 14:17:53.997
835.0,943.0,628.0,16,2022-04-10 14:17:54.877
1409.0,908.0,506.0,29,2022-04-10 14:17:56.336
128.0,979.0,395.0,3,2022-04-10 14:17:56.530
215.0,962.0,535.0,5,2022-04-10 14:17:56.808
475.0,968.0,628.0,9,2022-04-10 14:17:57.438
792.0,958.0,527.0,17,2022-04-10 14:17:58.287
260.0,1026.0,628.0,6,2022-04-10 14:17:58.600
351.0,973.0,518.0,8,2022-04-10 14:17:59.001
237.0,1014.0,374.0,5,2022-04-10 14:17:59.292
105.0,984.0,520.0,3,2022-04-10 14:17:59.457
475.0,977.0,623.0,9,2022-04-10 14:17:59.979
358.0,1028.0,486.0,6,2022-04-10 14:18:00.394
427.0,856.0,516.0,10,2022-04-10 14:18:00.933
594.0,957.0,492.0,13,2022-04-10 14:18:01.569
284.0,986.0,381.0,6,2022-04-10 14:18:01.902
494.0,988.0,525.0,10,2022-04-10 14:18:02.449
299.0,1138.0,624.0,6,2022-04-10 14:18:02.921
1378.0,1027.0,499.0,28,2022-04-10 14:18:04.343
116.0,1135.0,538.0,3,2022-04-10 14:18:04.520
475.0,993.0,598.0,10,2022-04-10 14:18:05.064
201.0,1026.0,462.0,4,2022-04-10 14:18:05.316
850.0,1133.0,558.0,18,2022-04-10 14:18:06.223
582.0,1007.0,489.0,13,2022-04-10 14:18:06.857
209.0,1141.0,581.0,5,2022-04-10 14:18:07.148
220.0,1039.0,506.0,5,2022-04-10 14:18:07.443
334.0,1168.0,520.0,6,2022-04-10 14:18:07.946
200.0,1237.0,518.0,5,2022-04-10 14:18:08.293
121.0,1127.0,526.0,3,2022-04-10 14:18:08.455
294.0,1118.0,628.0,7,2022-04-10 14:18:08.803
534.0,1236.0,625.0,12,2022-04-10 14:18:09.388
639.0,1125.0,610.0,13,2022-04-10 14:18:10.081
2601.0,1071.0,508.0,51,2022-04-10 14:18:12.733
672.0,1191.0,545.0,13,2022-04-10 14:18:13.453
343.0,1088.0,543.0,8,2022-04-10 14:18:13.846
153.0,1086.0,492.0,4,2022-04-10 14:18:14.137
295.0,1058.0,612.0,7,2022-04-10 14:18:14.486
926.0,1067.0,502.0,19,2022-04-10 14:18:15.463
1438.0,1181.0,584.0,28,2022-04-10 14:18:17.088
102.0,1246.0,524.0,3,2022-04-10 14:18:19.978
109.0,1111.0,488.0,3,2022-04-10 14:18:20.136
749.0,999.0,413.0,15,2022-04-10 14:18:20.931
114.0,1189.0,382.0,3,2022-04-10 14:18:21.089
525.0,1207.0,496.0,10,2022-04-10 14:18:21.666
723.0,1076.0,426.0,16,2022-04-10 14:18:22.434
340.0,1021.0,580.0,8,2022-04-10 14:18:22.820
557.0,992.0,335.0,9,2022-04-10 14:18:23.424
228.0,1052.0,233.0,5,2022-04-10 14:18:23.697
626.0,1180.0,217.0,12,2022-04-10 14:18:24.381
196.0,1052.0,217.0,5,2022-04-10 14:18:24.635
431.0,949.0,223.0,10,2022-04-10 14:18:25.115
382.0,943.0,493.0,9,2022-04-10 14:18:25.664
142.0,1039.0,359.0,4,2022-04-10 14:18:25.863
645.0,1160.0,258.0,12,2022-04-10 14:18:26.577
1258.0,1058.0,264.0,26,2022-04-10 14:18:27.896
299.0,942.0,222.0,7,2022-04-10 14:18:28.240
137.0,1008.0,322.0,4,2022-04-10 14:18:28.418
503.0,1134.0,459.0,10,2022-04-10 14:18:28.974
103.0,1235.0,550.0,3,2022-04-10 14:18:29.129
690.0,928.0,517.0,14,2022-04-10 14:18:29.941
1230.0,1147.0,554.0,26,2022-04-10 14:18:31.218
121.0,1250.0,538.0,3,2022-04-10 14:18:31.415
211.0,1125.0,493.0,5,2022-04-10 14:18:31.675
333.0,1019.0,387.0,6,2022-04-10 14:18:32.066
690.0,1026.0,339.0,15,2022-04-10 14:18:32.924
979.0,925.0,376.0,18,2022-04-10 14:18:33.960
382.0,1050.0,242.0,8,2022-04-10 14:18:34.405
2753.0,1015.0,349.0,52,2022-04-10 14:18:37.204
292.0,1135.0,456.0,6,2022-04-10 14:18:37.559
556.0,1091.0,559.0,12,2022-04-10 14:18:38.160
151.0,1196.0,602.0,4,2022-04-10 14:18:38.356
198.0,1111.0,458.0,5,2022-04-10 14:18:38.605
196.0,1022.0,344.0,5,2022-04-10 14:18:38.846
495.0,974.0,580.0,10,2022-04-10 14:18:39.532
443.0,969.0,470.0,8,2022-04-10 14:18:40.026
272.0,1145.0,487.0,6,2022-04-10 14:18:40.360
588.0,1033.0,565.0,13,2022-04-10 14:18:40.998
104.0,978.0,626.0,3,2022-04-10 14:18:41.247
2349.0,1001.0,609.0,46,2022-04-10 14:18:43.744
439.0,1110.0,601.0,10,2022-04-10 14:18:44.234
975.0,1007.0,641.0,17,2022-04-10 14:18:45.254
382.0,1095.0,558.0,8,2022-04-10 14:18:45.757
654.0,975.0,652.0,14,2022-04-10 14:18:46.465
245.0,1055.0,546.0,6,2022-04-10 14:18:46.758
297.0,1055.0,418.0,7,2022-04-10 14:18:47.113
270.0,966.0,559.0,6,2022-04-10 14:18:47.425
429.0,1142.0,570.0,9,2022-04-10 14:18:47.915
305.0,999.0,540.0,6,2022-04-10 14:18:48.543
396.0,1240.0,537.0,9,2022-04-10 14:18:49.128
357.0,1064.0,557.0,8,2022-04-10 14:18:49.545
237.0,1196.0,604.0,6,2022-04-10 14:18:49.828
138.0,1015.0,375.0,3,2022-04-10 14:18:50.119
514.0,999.0,273.0,11,2022-04-10 14:18:50.704
